datetime,observed,predicted_06h,predicted_24h,predicted_48h
2023-04-19 14:00:00,465.0,424.97800624370575,430.8023337125778,375.36107444763184
2023-04-19 15:00:00,436.0,435.0711089372635,445.81964832544327,401.3589022755623
2023-04-19 16:00:00,578.0,446.2939313054085,455.1688359379768,392.9506576061249
2023-04-19 17:00:00,513.0,417.7934984564781,426.3955733180046,365.63327699899673
2023-04-19 18:00:00,368.0,354.17559719085693,359.47587794065475,348.1969535946846
2023-04-19 19:00:00,297.0,330.61296635866165,327.71419286727905,311.3041644990444
2023-04-19 20:00:00,245.0,325.82676815986633,333.5970491170883,303.8522943854332
2023-04-19 21:00:00,284.0,328.7072121500969,336.8542471528053,303.3425372540951
2023-04-19 22:00:00,303.0,350.1096884310245,336.8171313405037,312.8822146356106
2023-04-19 23:00:00,313.0,357.396107673645,338.7194594740868,316.6624172925949
2023-04-20 00:00:00,290.0,357.3256161808968,336.3940967321396,316.3309159874916
2023-04-20 01:00:00,318.0,358.1566392183304,333.7433710694313,318.1008263230324
2023-04-20 02:00:00,334.0,356.7004716992378,327.02318209409714,329.7272545993328
2023-04-20 03:00:00,262.0,360.8946298658848,319.8691949248314,339.07721307873726
2023-04-20 04:00:00,330.0,362.01766869425774,317.2330300807953,337.00889161229134
2023-04-20 05:00:00,318.0,359.9543293118477,314.7203752398491,343.6243426203728
2023-04-20 06:00:00,339.0,358.8538026511669,329.73046654462814,339.2524710893631
2023-04-20 07:00:00,323.0,375.8074491918087,352.8975570201874,371.1792073249817
2023-04-20 08:00:00,393.0,412.2760616540909,401.92072147130966,404.6220388412476
2023-04-20 09:00:00,510.0,442.2383150458336,421.988327562809,430.00308752059937
2023-04-20 10:00:00,550.0,460.55231320858,434.7296720147133,432.9484841823578
2023-04-20 11:00:00,488.0,462.9858828186989,431.33408910036087,433.5638643503189
2023-04-20 12:00:00,492.0,459.31315898895264,412.4710624217987,427.46428030729294
2023-04-20 13:00:00,374.0,447.9118095636368,411.2923213243485,411.738853096962
2023-04-20 14:00:00,463.0,436.16753858327866,414.894639313221,418.3128057718277
2023-04-20 15:00:00,448.0,437.89054024219513,418.3603711128235,431.5870761871338
2023-04-20 16:00:00,439.0,454.7403767108917,457.03933012485504,431.32595217227936
2023-04-20 17:00:00,424.0,445.1136199235916,463.5399933457375,399.3911932110786
2023-04-20 18:00:00,309.0,398.2259280085564,416.4091357588768,351.5278978943825
2023-04-20 19:00:00,354.0,343.1059489250183,348.4553367495537,329.6544933319092
2023-04-20 20:00:00,264.0,332.017814129591,311.2761706113816,326.49603763222694
2023-04-20 21:00:00,318.0,328.25656908750534,317.96532505750656,326.14670646190643
2023-04-20 22:00:00,276.0,331.6439865231514,319.764499783516,320.5073442161083
2023-04-20 23:00:00,328.0,337.67870354652405,323.8928344845772,320.81259322166443
2023-04-21 00:00:00,264.0,336.29616808891296,327.244934797287,319.94499683380127
2023-04-21 01:00:00,307.0,339.5716813504696,331.6810166835785,322.1164003312588
2023-04-21 02:00:00,276.0,335.65868973731995,335.9465085864067,318.1089061498642
2023-04-21 03:00:00,338.0,335.3718558847904,332.4585644006729,315.9296655058861
2023-04-21 04:00:00,292.0,329.2642205655575,335.16670536994934,319.0893060564995
